answer,question,label,expected_score_range
"I have over three years of experience in software development, where I led a team of five engineers to deliver a payment integration platform that reduced transaction errors by 40%. I am passionate about clean code and continuous learning, and I believe my background in Python and cloud architecture makes me an ideal fit for this role.","Tell me about yourself","positive_confident",80-95
"I successfully managed a cross-functional project involving marketing, engineering, and design teams. By creating clear milestones and using weekly stand-ups, I improved our delivery time by 30%. The project taught me the importance of stakeholder communication and proactive risk management.","Describe a challenging situation you overcame","positive_structured",75-90
"Um, I think I'm a pretty good worker. I like, you know, doing my job and stuff. Maybe I could be better at some things, but I basically try my best. I'm not sure what else to say really.","What are your greatest strengths?","low_confidence_filler",20-40
"I failed a major product launch because I didn't communicate with my manager. The deadline was missed and the client was unhappy. I struggled to handle the pressure and made a lot of mistakes. I'm not really sure how to avoid this in the future.","Tell me about a time you failed","negative_tone",15-35
"I see myself growing into a leadership role within five years. I plan to deepen my expertise in machine learning, obtain relevant certifications, and mentor junior team members. I am excited about the opportunity this company provides to grow both technically and professionally.","Where do you see yourself in 5 years?","positive_future_focused",75-88
"I work well under pressure. Last quarter, I delivered a critical database migration with zero downtime despite a compressed timeline. I prioritise tasks using a triage matrix and communicate blockers early. Stress actually sharpens my focus rather than hindering it.","How do you handle stress?","high_confidence",78-92
"My greatest strength is adaptability. For instance, when our company pivoted to a fully remote model, I proactively established new communication protocols, organised virtual team-building sessions, and maintained productivity levels above our pre-remote baseline.","What are your greatest strengths?","specific_structured",80-92
"I want to work here because it seems like a good company. The job pays well and the office is close to my home. I looked at the website briefly and it seems interesting.","Why do you want to work for us?","low_motivation",18-35
"I am deeply inspired by your company's mission to democratise financial services. Having spent two years building fintech solutions, I understand the regulatory and technical challenges you face. I am confident I can contribute immediately to your engineering roadmap while growing with the company long-term.","Why do you want to work for us?","motivated_specific",82-95
"I think maybe I can lead a team, sort of. I've done some leadership before but I'm not totally confident about it. I guess I could try if needed.","Tell me about a time you demonstrated leadership","hedging_unsure",15-30
